metric	value
expected_genome_size_bp	11747160
scaffold_count	16
total_scaffold_length_bp	11304507
avg_scaffold_length_bp	706531.69
scaffold_n50_bp	922430
scaffold_aun_bp	895018.82
scaffold_l50	5
scaffold_ng50_bp	813311
scaffold_aung_bp	861292.98
scaffold_lg50	6
largest_scaffold_bp	1532843
smallest_scaffold_bp	185154
contig_count	16
total_contig_length_bp	11304507
avg_contig_length_bp	706531.69
contig_n50_bp	922430
contig_aun_bp	895018.82
contig_l50	5
contig_ng50_bp	813311
contig_aung_bp	861292.98
contig_lg50	6
largest_contig_bp	1532843
smallest_contig_bp	185154
gap_count_scaffolds	0
total_gap_length_bp	0
avg_gap_length_bp	0
gc_content_percent	38.35
segments_count	16
paths_count	16
